date,steps,distance,runDistance,calories
2020-11-30,507,332,51,16
2020-12-01,2117,1509,61,56
2020-12-02,837,547,43,23
2020-12-03,2455,1734,158,68
2020-12-04,773,505,114,23
2020-12-05,4812,3502,279,132
2020-12-06,6942,5335,152,189
2020-12-07,725,474,59,19
2020-12-08,978,640,103,29
2020-12-09,2973,2158,191,85
2020-12-10,4379,3158,247,115
2020-12-11,3429,2548,161,97
2020-12-12,3794,2481,251,87
2020-12-13,1078,705,85,28
2020-12-14,6154,4338,294,154
2020-12-15,2506,1817,107,71
2020-12-16,1539,1006,78,37
2020-12-17,7737,5524,526,193
2020-12-18,11345,8388,507,293
2020-12-19,1512,1126,103,44
2020-12-20,304,199,57,12
2020-12-21,4183,3159,103,112
2020-12-22,669,437,115,21
2020-12-23,724,473,82,20
2020-12-24,4539,3383,188,123
2020-12-25,2039,1333,165,51
2020-12-26,498,326,56,16
2020-12-27,10012,7443,380,263
2020-12-28,1226,810,120,33
2020-12-29,738,483,62,22
2020-12-30,1275,834,153,40
2020-12-31,259,169,40,10
2021-01-01,465,304,46,14
2021-01-02,2817,2030,126,73
2021-01-03,2605,1865,207,70
2021-01-04,556,364,66,17
2021-01-05,1289,843,144,31
2021-01-06,1360,968,85,38
2021-01-07,3193,2221,64,77
2021-01-08,668,437,62,18
2021-01-09,2853,2168,58,76
2021-01-10,569,372,81,18
2021-01-11,1856,1360,57,50
2021-01-12,1267,899,76,36
2021-01-13,934,616,47,24
2021-01-14,1342,1015,58,36
2021-01-15,748,489,74,22
2021-01-16,0,0,0,0
2021-02-05,3038,2196,156,81
2021-02-06,303,198,49,10
2021-02-07,376,246,36,11
2021-02-08,2080,1455,110,53
2021-02-09,1326,867,162,42
2021-02-10,3736,2740,134,101
2021-02-11,2797,1829,218,59
2021-02-12,2217,1666,47,59
2021-02-13,3764,2461,170,82
2021-02-14,2276,1656,70,59
2021-02-15,3231,2350,97,85
2021-02-16,12343,9441,353,327
2021-02-17,1781,1165,153,48
2021-02-18,1199,784,51,30
2021-02-19,764,500,164,23
2021-02-20,843,551,115,25
2021-02-21,2667,1904,154,71
2021-02-22,1857,1275,138,50
2021-02-23,4061,2989,164,108
2021-02-24,3686,2585,242,97
2021-02-25,3575,2522,306,89
2021-02-26,3410,2486,143,90
2021-02-27,989,647,57,25
2021-02-28,3165,2098,225,79
2021-03-01,802,524,71,18
2021-03-02,2157,1546,112,56
2021-03-03,1049,686,127,27
2021-03-04,482,315,68,16
2021-03-05,4955,3591,372,133
2021-03-06,3723,2696,183,96
2021-03-07,1768,1156,163,48
2021-03-08,3012,2216,138,81
2021-03-09,10339,7681,305,260
2021-03-10,1088,711,83,31
2021-03-11,2209,1545,103,58
2021-03-12,3119,2167,142,77
2021-03-13,2511,1875,108,71
2021-03-14,1376,900,119,35
2021-03-15,2311,1718,84,62
2021-03-16,8990,6745,186,234
2021-03-17,628,411,102,20
2021-03-18,837,547,149,26
2021-03-19,552,361,79,18
2021-03-20,1678,1198,67,47
2021-03-21,1512,989,74,34
2021-03-22,849,555,109,24
2021-03-23,3249,2321,109,81
2021-03-24,4518,3286,100,116
2021-03-25,1904,1375,98,52
2021-03-26,1828,1332,97,50
2021-03-27,920,602,163,26
2021-03-28,1047,685,137,28
2021-03-29,18531,13308,656,454
2021-03-30,2340,1639,115,59
2021-03-31,4193,3056,146,109
2021-04-01,948,620,73,24
2021-04-02,875,572,98,25
2021-04-03,2326,1665,110,66
2021-04-04,592,387,55,19
2021-04-05,1546,1087,33,39
2021-04-06,852,557,125,24
2021-04-07,6481,4579,332,159
2021-04-08,3085,2225,79,80
2021-04-09,8529,5844,289,209
2021-04-10,4850,3198,320,119
2021-04-11,2920,2019,177,75
2021-04-12,1771,1254,84,49
2021-04-13,3047,1993,268,72
2021-04-14,2168,1418,135,53
2021-04-15,1062,694,115,29
2021-04-16,11556,9050,208,319
2021-04-17,4228,2927,178,103
2021-04-18,735,481,110,21
2021-04-19,3962,2592,237,89
2021-04-20,516,337,98,18
